player_id,name,url,position,score,hometown,offers,state
184,Jaqwondis Burns,https://247sports.com/player/jaqwondis-burns-46078938/high-school,OLB ,0.8709," IMG Academy (Bradenton, FL)                    ","['Minnesota', 'Colorado', 'Louisville', 'Texas', 'Utah', 'Ole Miss', 'Arizona', 'Arkansas', 'Baylor', 'Houston', 'Kansas', 'Kansas State', 'North Texas', 'Oklahoma State', 'Purdue', 'SMU', 'Southern Miss', 'Tennessee', 'Texas Tech', 'Tulsa', 'UTSA', 'Virginia']",FL
185,Gage Keys,https://247sports.com/player/gage-keys-46059285/high-school,SDE ,0.8606," Hilliard Davidson (Hilliard, OH)                    ","['Minnesota', 'Cincinnati', 'Indiana', 'Akron', 'Ball State', 'Bowling Green', 'Dartmouth', 'Eastern Michigan', 'Maryland', 'Ohio', 'Rutgers', 'Toledo', 'Western Michigan', 'Youngstown State', 'Louisville', 'Michigan State', 'Northwestern', 'Penn State', 'Pittsburgh', 'Wisconsin']",OH
186,Abner Dubar,https://247sports.com/player/abner-dubar-46055373/high-school,S ,0.8531," Anna (Anna, TX)                    ","['Minnesota', 'Colorado', 'Texas Tech', 'Baylor', 'Houston', 'Illinois State', 'Kansas', 'Louisiana', 'Louisiana-Monroe', 'Nevada', 'Texas State', 'Tulsa', 'UTSA', 'Washington State']",TX
187,Cody Lindenberg,https://247sports.com/player/cody-lindenberg-46083547/high-school,OLB ,0.8490000000000001," Anoka Senior (Anoka, MN)                    ","['Minnesota', 'North Dakota', 'Northern Iowa', 'South Dakota', 'South Dakota State']",MN
188,Tyrell Lawrence,https://247sports.com/player/tyrell-lawrence-46082453/high-school,OG ,0.8389," Clearwater Academy International (Clearwater, FL)                    ","['Minnesota', 'Massachusetts', 'Howard', 'Indiana', 'Tennessee', 'Pittsburgh', 'Syracuse', 'Virginia Tech']",FL
189,Melle Kreuder,https://247sports.com/player/melle-kreuder-46085413/high-school,SDE ,0.8355," Germany (Germany, GERM)                    ","['Minnesota', 'Buffalo', 'Massachusetts']",GE
190,Mark Crawford,https://247sports.com/player/mark-crawford-46097530/high-school,P ,0.7996," Australia (Australia, AUST)                 ",['Minnesota'],AU
257,Kobe Wilson,https://247sports.com/player/kobe-wilson-46077079/high-school,ILB ,0.8540000000000001," Parkview (Lilburn, GA)    ","['Temple', 'Memphis', 'Akron', 'Appalachian State', 'Arizona State', 'Army', 'Cincinnati', 'Colorado State', 'Connecticut', 'Florida Atlantic', 'Furman', 'Georgia', 'Georgia State', 'Louisville', 'Middle Tennessee State', 'Pittsburgh', 'Southern Miss', 'Tennessee State', 'Toledo', 'Troy', 'USF', 'Western Kentucky', 'Wofford', 'Austin Peay', 'Bowling Green', 'Coastal Carolina', 'Colorado State', 'Gardner-Webb', 'Georgia Southern', 'Georgia Tech', 'Howard', 'Kent State', 'Liberty', 'Memphis', 'Mercer', 'Middle Tennessee State', 'Navy', 'North Carolina', 'Samford', 'South Alabama', 'Troy', 'Wake Forest']",GA
258,Sam Davis,https://247sports.com/player/sam-davis-46076633/high-school,OG ,0.8444," Geneva (Geneva, OH)    ","['Temple', 'Akron', 'Army', 'Ball State', 'Bowling Green', 'Cincinnati', 'Colorado State', 'Eastern Michigan', 'Ohio', 'Rutgers', 'Tulane', 'Youngstown State', 'Indiana', 'Kent State', 'Michigan State', 'Toledo']",OH
259,Darian Varner,https://247sports.com/player/darian-varner-46084522/high-school,DT ,0.8395," Maury (Norfolk, VA)    ","['Temple', 'Akron', 'Charlotte', 'Coastal Carolina', 'East Carolina', 'James Madison', 'Kent State', 'Liberty', 'Norfolk State', 'North Carolina A&T', 'Air Force', 'Army', 'East Carolina', 'Elon', 'Marshall', 'Maryland', 'Old Dominion', 'Towson', 'Villanova', 'Wake Forest']",VA
