player_id,name,team,url,position,score,hometown,state
98,Savion Washington,Kent State,https://247sports.com/player/savion-washington-46081225,OT ,0.8118,Akron,OH
99,Marcellus Marshall,Kent State,https://247sports.com/player/marcellus-marshall-46085851,OT ,0.8104,Morgantown,WV
100,Luke Murphy,Kent State,https://247sports.com/player/luke-murphy-46083492,S ,0.8091,Massillon,OH
101,Marquez Cooper,Kent State,https://247sports.com/player/marquez-cooper-46083523,RB ,0.8072,Gaithersburg,MD
102,Tyler Dixon,Kent State,https://247sports.com/player/tyler-dixon-46082193,WR ,0.8072,Saint Louis,MO
103,Robie Glass,Kent State,https://247sports.com/player/robie-glass-46097208,WR ,0.8009999999999999,Springfield,OH
104,Adin Huntington,Kent State,https://247sports.com/player/adin-huntington-46085951,DT ,0.8009999999999999,Stafford,VA
105,Nadir Pineda,Kent State,https://247sports.com/player/nadir-pineda-91996,DT ,0.7999,New Rochelle,NY
106,Terrell Miller,Kent State,https://247sports.com/player/terrell-miller-46098738,CB ,0.7998,Fairburn,GA
107,Tynan Tucker,Kent State,https://247sports.com/player/tynan-tucker-46098723,S ,0.7998,Statesville,NC
108,Tyler Thomas,Kent State,https://247sports.com/player/tyler-thomas-46086317,OG ,0.7991,Baltimore,MD
109,Thor Kracht,Kent State,https://247sports.com/player/thor-kracht-46053830,OG ,0.794,Carmel,IN
110,Marquail Coaxum,Kent State,https://247sports.com/player/marquail-coaxum-46097613,CB ,0.7897,Cartersville,GA
111,Josh Smith,Kent State,https://247sports.com/player/josh-smith-46099357,P ,0.7396,Australia,AU
112,Brandon Perkins,Kent State,https://247sports.com/player/brandon-perkins-46082565,ILB ,0.8072,Williamstown,NJ
113,Bryan Bresee,Clemson,https://247sports.com/player/bryan-bresee-46038819/high-school,DT ,0.9995,Damascus,MD
114,Myles Murphy,Clemson,https://247sports.com/player/myles-murphy-46042886/high-school,SDE ,0.9965,Powder Springs,GA
115,DJ Uiagalelei,Clemson,https://247sports.com/player/dj-uiagalelei-45573350/high-school,PRO ,0.9949,Bellflower,CA
116,Trenton Simpson,Clemson,https://247sports.com/player/trenton-simpson-46048683/high-school,OLB ,0.9871,Charlotte,NC
117,Demonte Capehart,Clemson,https://247sports.com/player/demonte-capehart-46042893/high-school,DT ,0.9832,Bradenton,FL
118,Fred Davis II,Clemson,https://247sports.com/player/fred-davis-ii-46037551/high-school,CB ,0.9743,Jacksonville,FL
119,E.J. Williams,Clemson,https://247sports.com/player/e-j-williams-46049986/high-school,WR ,0.9685,Phenix City,AL
120,Mitchell Mayes,Clemson,https://247sports.com/player/mitchell-mayes-46051711/high-school,OG ,0.9348,Raleigh,NC
121,Sergio Allen,Clemson,https://247sports.com/player/sergio-allen-46042574/high-school,ILB ,0.9183,Fort Valley,GA
122,RJ Mickens,Clemson,https://247sports.com/player/rj-mickens-91595/high-school,S ,0.9181,Southlake,TX
123,Kevin Swint,Clemson,https://247sports.com/player/kevin-swint-46036484/high-school,ILB ,0.9072,Carrollton,GA
124,Bryn Tucker,Clemson,https://247sports.com/player/bryn-tucker-45572456/high-school,OG ,0.9015,Knoxville,TN
125,Sage Ennis,Clemson,https://247sports.com/player/sage-ennis-46081869/high-school,TE ,0.8722,Tallahassee,FL
126,Tyler Venables,Clemson,https://247sports.com/player/tyler-venables-94711/high-school,S ,0.8498,Central,SC
127,Demarkcus Bowman,Clemson,https://247sports.com/player/demarkcus-bowman-46048830,RB ,0.991,Lakeland,FL
128,Walker Parks,Clemson,https://247sports.com/player/walker-parks-46043254,OT ,0.9747,Lexington,KY
129,Tre Williams,Clemson,https://247sports.com/player/tre-williams-46047260,DT ,0.9572,Washington,DC
130,Paul Tchio,Clemson,https://247sports.com/player/paul-tchio-46047848,OG ,0.9548,Alpharetta,GA
131,Malcolm Greene,Clemson,https://247sports.com/player/malcolm-greene-46055228,S ,0.9025,Highland Springs,VA
132,John Williams,Clemson,https://247sports.com/player/john-williams-46051782,OT ,0.8891,Canton,GA
133,Ajou Ajou,Clemson,https://247sports.com/player/ajou-ajou-46082144,WR ,0.8876,Clearwater,FL
134,Kobe Pryor,Clemson,https://247sports.com/player/kobe-pryor-46050865,RB ,0.8824,Cedartown,GA
135,Trent Howard,Clemson,https://247sports.com/player/trent-howard-46056626,OG ,0.8484,Birmingham,AL
136,Clark Phillips III,Utah,https://247sports.com/player/clark-phillips-iii-46038933/high-school,CB ,0.9747,La Habra,CA
137,Ben Renfro,Utah,https://247sports.com/player/ben-renfro-46085131/high-school,S ,0.8389,Magnolia,TX
138,Van Fillinger,Utah,https://247sports.com/player/van-fillinger-46056161,SDE ,0.9279,Draper,UT
139,Xavier Carlton,Utah,https://247sports.com/player/xavier-carlton-46051024,SDE ,0.9063,Draper,UT
140,Nate Ritchie,Utah,https://247sports.com/player/nate-ritchie-46059382,S ,0.8929,American Fork,UT
141,Connor O''Toole,Utah,https://247sports.com/player/connor-otoole-46084231,TE ,0.883,Albuquerque,NM
142,Ty Jordan,Utah,https://247sports.com/player/ty-jordan-46049893,APB ,0.883,Mesquite,TX
143,Solatoa Moea''i,Utah,https://247sports.com/player/solatoa-moeai-46052629,OT ,0.8809999999999999,Honolulu,HI
144,Keanu Tanuvasa,Utah,https://247sports.com/player/keanu-tanuvasa-46053604,DT ,0.8626,Mission Viejo,CA
145,Money Parks,Utah,https://247sports.com/player/money-parks-46040081,WR ,0.8619,Aledo,TX
146,Tyler Wegis,Utah,https://247sports.com/player/tyler-wegis-46079029,WDE ,0.8605,San Juan Capistrano,CA
147,Alex Harrison,Utah,https://247sports.com/player/alex-harrison-46046930,OT ,0.8593,Bountiful,UT
148,Kenzel Lawler,Utah,https://247sports.com/player/kenzel-lawler-46048405,ATH ,0.8544,Corona,CA
149,Sione Fotu,Utah,https://247sports.com/player/sione-fotu-46058651,ILB ,0.8519,South Jordan,UT
150,Caine Savage,Utah,https://247sports.com/player/caine-savage-46053196,ATH ,0.8477,Anaheim,CA
151,Kamo''i Latu,Utah,https://247sports.com/player/kamoi-latu-46057172,S ,0.8464,Honolulu,HI
152,Tanoa Togiai,Utah,https://247sports.com/player/tanoa-togiai-46047148,SDE ,0.8416,Rigby,ID
153,Graham Faloona,Utah,https://247sports.com/player/graham-faloona-46049809,OLB ,0.8356,Southlake,TX
154,Faybian Marks,Utah,https://247sports.com/player/faybian-marks-46056700,CB ,0.8343,Richmond,TX
155,Jeremy Mercier,Utah,https://247sports.com/player/jeremy-mercier-46098880,OLB ,0.8213,Gila Bend,AZ
156,Cooper Justice,Utah,https://247sports.com/player/cooper-justice-46055616,PRO ,0.8053,Lake Oswego,OR
157,JaCobee Bryant,Kansas,https://247sports.com/player/jacobee-bryant-46079397,CB ,0.8742,Evergreen,AL
158,Lawrence Arnold,Kansas,https://247sports.com/player/lawrence-arnold-46050247,WR ,0.866,DeSoto,TX
159,Duece Mayberry,Kansas,https://247sports.com/player/duece-mayberry-46053516,CB ,0.8646,Owasso,OK
160,Krishawn Brown,Kansas,https://247sports.com/player/krishawn-brown-46058620,OLB ,0.8626,Tulsa,OK
161,Taiwan Berryhill,Kansas,https://247sports.com/player/taiwan-berryhill-46055130,OLB ,0.8552,New Orleans,LA
162,Kenean Caldwell,Kansas,https://247sports.com/player/kenean-caldwell-46051167,DT ,0.8540000000000001,Oak Grove,LA
163,Will Huggins,Kansas,https://247sports.com/player/will-huggins-46081205,TE ,0.8519,Overland Park,KS
164,Steven McBride,Kansas,https://247sports.com/player/steven-mcbride-46082020,WR ,0.8497,Gonzales,LA
165,Johnquai Lewis,Kansas,https://247sports.com/player/johnquai-lewis-46038473,ATH ,0.8484,Hialeah,FL
166,Trevor Kardell,Kansas,https://247sports.com/player/trevor-kardell-46081793,TE ,0.8477,Lees Summit,MO
167,Alonso Person,Kansas,https://247sports.com/player/alonso-person-46057052,OLB ,0.8471,Harbor City,CA
168,Clinton Anokwuru,Kansas,https://247sports.com/player/clinton-anokwuru-46052534,SDE ,0.8423,Richmond,TX
169,Tristan Golightly,Kansas,https://247sports.com/player/tristan-golightly-46055045,WR ,0.841,Mesquite,TX
170,Karon Prunty,Kansas,https://247sports.com/player/karon-prunty-46083839,CB ,0.8369,Portsmouth,VA
171,Malik Johnson,Kansas,https://247sports.com/player/malik-johnson-46037404,WR ,0.8356,The Woodlands,TX
172,Caleb Taylor,Kansas,https://247sports.com/player/caleb-taylor-46078885,SDE ,0.8343,Kansas City,MO
173,Armaj Adams-Reed,Kansas,https://247sports.com/player/armaj-adams-reed-46081126,OT ,0.8315,DeSoto,TX
174,Ra''Mello Dotson,Kansas,https://247sports.com/player/ramello-dotson-46080088,CB ,0.8315,Daytona Beach,FL
175,Jackson Satterwhite,Kansas,https://247sports.com/player/jackson-satterwhite-46094598,OT ,0.8301,Miami,OK
176,Daniel Hishaw Jr.,Kansas,https://247sports.com/player/daniel-hishaw-jr-46081215,ATH ,0.8294,Moore,OK
177,Luke Grimm,Kansas,https://247sports.com/player/luke-grimm-46080599,WR ,0.8242,Peculiar,MO
178,Nicholas Martinez,Kansas,https://247sports.com/player/nicholas-martinez-46080015,OT ,0.8213,Anaheim,CA
179,Garrett Jones,Kansas,https://247sports.com/player/garrett-jones-46083958,OG ,0.8166,Berrien Springs,MI
180,Jalon Daniels,Kansas,https://247sports.com/player/jalon-daniels-46081530,DUAL ,0.8139,Lawndale,CA
181,Bryce Cabeldue,Kansas,https://247sports.com/player/bryce-cabeldue-46098363,OT ,0.8126,Clovis,NM
182,Kyler Pearson,Kansas,https://247sports.com/player/kyler-pearson-46057805,WR ,0.8009999999999999,Tulsa,OK
183,Ky Thomas,Minnesota,https://247sports.com/player/ky-thomas-46035350/high-school,RB ,0.8863,Topeka,KS
184,Jaqwondis Burns,Minnesota,https://247sports.com/player/jaqwondis-burns-46078938/high-school,OLB ,0.8709,Bradenton,FL
185,Gage Keys,Minnesota,https://247sports.com/player/gage-keys-46059285/high-school,SDE ,0.8606,Hilliard,OH
186,Abner Dubar,Minnesota,https://247sports.com/player/abner-dubar-46055373/high-school,S ,0.8531,Anna,TX
187,Cody Lindenberg,Minnesota,https://247sports.com/player/cody-lindenberg-46083547/high-school,OLB ,0.8490000000000001,Anoka,MN
188,Tyrell Lawrence,Minnesota,https://247sports.com/player/tyrell-lawrence-46082453/high-school,OG ,0.8389,Clearwater,FL
189,Melle Kreuder,Minnesota,https://247sports.com/player/melle-kreuder-46085413/high-school,SDE ,0.8355,Germany,GE
